Country_Year,Country,GeogLoc,IncomeLevel,Year,Domestic_Credit,Corruption_Estimate,Government_Effectiveness,High_Tech_Export_Percentage,MarketCap,Non.performing.Loans,PatentNonResidents,PatentResidents,R.D_Percentage,Trade_Percentage,GDP.per.capita,GDP.constant,Z_Score,AI.Patent.Applications,AI.Publications,AI.Investment,Total_Patents,Patents_per_GDP,AI_Investment_per_GDP,log_Patents_per_GDP,log_RD_Percentage,log_High_Tech_Export,log_GDP_per_Capita,log_Trade_Percentage,log_Credit_Private_Sector,log_AI_Investment_per_GDP,log_AI_Publications,log_Non.performing.Loans
Hungary-2013,Hungary,Europe_and_Central_Asia,high-income_economy,2013,46.05118038,0.293921649,0.678418398,19.36915231,14.59078737,16.82572837,66,642,1.38409996,164.3461104,11705.00925,1.15799E+11,8.120221,0.20223789,303,0,708,6.11E-09,0,6.11E-09,0.868821678,3.014021615,9.3678576,5.108040915,3.851235954,0,5.717027701,2.880642827
Hungary-2014,Hungary,Europe_and_Central_Asia,high-income_economy,2014,42.51429802,0.156544849,0.582895637,16.69019751,10.29063639,15.62152681,73,546,1.344599962,168.3945965,12233.29937,1.20699E+11,6.695463,0.101390645,298,5723033,619,5.13E-09,4.74E-05,5.13E-09,0.852114796,2.873010673,9.41199871,5.132230884,3.773089574,4.74E-05,5.700443573,2.810698651
Hungary-2015,Hungary,Europe_and_Central_Asia,high-income_economy,2015,35.0798415,0.118709452,0.509736955,17.08325845,14.12987234,11.66312603,64,569,1.339589953,167.320445,12717.0386,1.25174E+11,8.316404,0.8130734,305,395564593,633,5.06E-09,0.003160114,5.06E-09,0.84997568,2.894986562,9.450776627,5.125869574,3.585734302,0.003155131,5.723585102,2.538694308
Hungary-2016,Hungary,Europe_and_Central_Asia,high-income_economy,2016,33.37437642,0.072164074,0.457127035,17.57645302,17.53626286,7.423562097,49,616,1.179870009,164.4039277,13035.35286,1.27929E+11,9.585453,0.5096565,331,12419077,665,5.20E-09,9.71E-05,5.20E-09,0.779265246,2.921894812,9.475497108,5.108390529,3.537311415,9.71E-05,5.805134969,2.131032791
Hungary-2017,Hungary,Europe_and_Central_Asia,high-income_economy,2017,32.39838963,0.090621345,0.481280267,17.26307328,22.04833751,4.167788043,36,496,1.317020059,165.2285156,13628.40449,1.33394E+11,9.697723,0.6131455,281,2210919,532,3.99E-09,1.66E-05,3.99E-09,0.840281903,2.904881168,9.519984833,5.113363442,3.508507684,1.66E-05,5.641907071,1.642444752
Hungary-2018,Hungary,Europe_and_Central_Asia,high-income_economy,2018,32.34142598,0.055339221,0.443152636,16.82098586,18.0203993,2.465299559,36,407,1.507750034,163.2605123,14377.42416,1.40547E+11,9.478704,0.30692437,398,45322262,443,3.15E-09,0.00032247,3.15E-09,0.91938595,2.880376744,9.57348404,5.101453657,3.506800647,0.000322418,5.988961417,1.242799082
Hungary-2019,Hungary,Europe_and_Central_Asia,high-income_economy,2019,33.25898311,0.030637173,0.450478911,17.37876006,20.05026076,1.509118843,23,427,1.472910047,160.7513433,15083.59917,1.47384E+11,9.339087,0.40940207,517,12718727,450,3.05E-09,8.63E-05,3.05E-09,0.905395614,2.911195653,9.62142958,5.086060238,3.533948811,8.63E-05,6.249975242,0.919931633
Hungary-2020,Hungary,Europe_and_Central_Asia,high-income_economy,2020,37.59900087,0.068954095,0.538535595,17.46488072,17.78308586,3.953203274,28,428,1.59315002,155.4226639,14437.80885,1.40771E+11,7.338471,0.20513956,572,10469785,456,3.24E-09,7.44E-05,3.24E-09,0.952873361,2.915870589,9.577674919,5.052561727,3.653226392,7.44E-05,6.350885717,1.600034493
Hungary-2021,Hungary,Europe_and_Central_Asia,high-income_economy,2021,38.32801053,0.01195485,0.59682107,16.39751264,17.33641211,3.568278172,13,433,1.64230001,159.6882741,15521.38159,1.50711E+11,7.074254,0.20601888,663,2.80E+07,446,2.96E-09,0.000185786,2.96E-09,0.971649754,2.856327244,9.650038235,5.079466303,3.671937001,0.000185769,6.498282149,1.519136366
India-2013,India,South_Asia,lower-middle_income_economy,2013,52.38570952,-0.517280996,-0.157355145,8.87350365,68.1342664,4.027728635,32362,10669,0.706420004,53.84413195,1399.453798,1.81345E+12,17.16692,0.041672148,5267,68627295,43031,2.37E-08,3.78E-05,2.37E-08,0.534397611,2.28985477,7.244551605,4.004495197,3.977543098,3.78E-05,8.569406063,1.614968319
India-2014,India,South_Asia,lower-middle_income_economy,2014,51.88218736,-0.457605749,-0.222846583,9.221221748,82.7172078,4.345849763,30814,12040,0.701590002,48.92218575,1484.316407,1.94783E+12,16.44565,0.037339672,6463,2719585184,42854,2.20E-08,0.00139621,2.20E-08,0.531563109,2.324466122,7.303383097,3.910465508,3.968066559,0.001395236,8.7740036,1.676320515
India-2015,India,South_Asia,lower-middle_income_economy,2015,51.86752408,-0.40657419,0.0800815,8.024769172,82.96153709,5.883522274,33079,12579,0.693099976,41.92291387,1583.998159,2.10359E+12,16.17971,0.083582796,8013,1142107019,45658,2.17E-08,0.000542933,2.17E-08,0.526561154,2.199972927,7.368338525,3.759405806,3.967789239,0.000542785,8.988945291,1.929130479
India-2016,India,South_Asia,lower-middle_income_economy,2016,49.10122542,-0.337335646,0.061389416,7.663257044,76.09812486,9.185655918,31858,13199,0.669839978,40.08248571,1694.46535,2.27727E+12,17.14082,0.11607624,8989,311605939,45057,1.98E-08,0.000136833,1.98E-08,0.5127278,2.159090754,7.435712525,3.715581892,3.914045467,0.000136824,9.103868127,2.320980448
India-2017,India,South_Asia,lower-middle_income_economy,2017,48.7940214,-0.291900009,0.041096631,7.362081141,96.39877839,9.975282064,31621,14961,0.66602999,40.74249695,1788.697703,2.43202E+12,15.45114,0.19784395,9800,5336052611,46582,1.92E-08,0.002194086,1.92E-08,0.510443545,2.123707336,7.489802004,3.731519721,3.907894925,0.002191683,9.1902397,2.395645659
India-2018,India,South_Asia,lower-middle_income_economy,2018,50.33816275,-0.229758978,0.262917787,9.041451688,84.43839906,9.460956912,33766,16289,0.66000998,43.61696933,1883.357727,2.58897E+12,16.4891,0.19641234,12176,7297963363,50055,1.93E-08,0.002818862,1.93E-08,0.506823615,2.306721694,7.541342313,3.798114265,3.938434389,0.002814897,9.407304206,2.347649937
India-2019,India,South_Asia,lower-middle_income_economy,2019,50.74246174,-0.30260244,0.130771831,10.22373969,80.650283,9.234428991,34173,19454,0.659420013,39.90540353,1936.030677,2.68921E+12,17.56805,0.007199267,13437,981461793,53627,1.99E-08,0.000364964,1.99E-08,0.506468152,2.41803115,7.568911501,3.71126217,3.946278755,0.000364897,9.505841793,2.325757428
India-2020,India,South_Asia,lower-middle_income_economy,2020,54.50529025,-0.293598413,0.374532461,11.03256385,97.03201362,7.938830725,33630,23141,0.64635998,37.75810533,1806.501106,2.53383E+12,19.00172,0.003564763,18288,26600582930,56771,2.24E-08,0.01049817,2.24E-08,0.498566778,2.487616628,7.499700566,3.657339904,4.016478336,0.010443447,9.814055065,2.190404789
Indonesia-2013,Indonesia,East_Asia_and_Pacific,Upper-middle_income_economy,2013,32.37033501,-0.660291791,-0.244262353,9.676062629,37.99064551,1.606180858,6787,663,0.084700003,48.63737268,3055.24246,7.81691E+11,4.511139,0.003908502,390,2326349,7450,9.53E-09,2.98E-06,9.53E-09,0.081303454,2.368004098,8.024941486,3.904744031,3.507667332,2.98E-06,5.96870756,0.957885877
Indonesia-2016,Indonesia,East_Asia_and_Pacific,Upper-middle_income_economy,2016,33.12695828,-0.463151515,-0.050782252,7.998609749,45.68924908,2.774898552,8538,1101,0.245350003,37.4213418,3416.810052,9.04182E+11,5.101857,0.007557795,1068,2258014,9639,1.07E-08,2.50E-06,1.07E-08,0.219416618,2.197070093,8.136755289,3.648613081,3.530087637,2.50E-06,6.974478911,1.328373509
Ireland-2016,Ireland,Europe_and_Central_Asia,High-Income_Economy,2016,47.34005127,1.649452686,1.329557776,32.84181715,39.19384995,12.62697501,70,79,1.175070047,229.7644331,64367.4069,3.06089E+11,14.43176,0.42074215,486,222414384,149,4.87E-10,0.000726634,4.87E-10,0.77706087,3.521697232,11.07237822,5.44139742,3.878260436,0.00072637,6.188264123,2.612051285
Ireland-2018,Ireland,Europe_and_Central_Asia,High-Income_Economy,2018,39.74995962,1.5349406,1.378243089,25.01527823,27.85465816,5.456854569,32,76,1.167199969,216.4236477,74427.55207,3.62262E+11,15.39093,0.4104621,612,137045889,108,2.98E-10,0.000378306,2.98E-10,0.773435998,3.25868399,11.21759491,5.381847744,3.707454849,0.000378234,6.418364936,1.86514229
Israel-2013,Israel,Middle_East_and_North_Africa,High-income_economy,2013,64.84809723,0.905973852,1.243064404,19.03625824,68.3057886,2.901407683,4984,1201,4.025990009,64.66563099,35338.62421,2.84812E+11,32.07264,1.1613849,598,181455221,6185,2.17E-08,0.000637106,2.17E-08,1.614622451,2.997543544,10.47276011,4.184575668,4.187350532,0.000636903,6.395261598,1.361337432
Israel-2014,Israel,Middle_East_and_North_Africa,High-income_economy,2014,65.12480921,0.86055541,1.206179619,19.41305284,63.84310565,2.166393793,5148,1125,4.110610008,62.21117541,36013.66865,2.95877E+11,31.43754,0.75976557,703,170546377,6273,2.12E-08,0.000576409,2.12E-08,1.631318772,3.016174541,10.4916816,4.146481112,4.191544005,0.000576243,6.556778356,1.152593335
Israel-2015,Israel,Middle_East_and_North_Africa,High-income_economy,2015,65.87282144,0.906771839,1.356556654,23.65397754,80.57001212,1.844806223,5623,1285,4.214630127,59.34758073,36123.99079,3.02723E+11,29.72975,1.9868581,742,477878613,6908,2.28E-08,0.001578602,2.28E-08,1.651468161,3.204938248,10.49474017,4.100120859,4.202792628,0.001577357,6.610696045,1.045494954
Israel-2016,Israel,Middle_East_and_North_Africa,High-income_economy,2016,64.92011993,1.147175431,1.309555888,21.81961727,66.67008896,1.606543015,5119,1300,4.471739769,58.25084735,36969.74166,3.15943E+11,30.28489,0.609013,831,546439400,6419,2.03E-08,0.001729548,2.03E-08,1.699596622,3.127620573,10.51788211,4.081780081,4.188443705,0.001728054,6.723832441,0.958024828
Israel-2017,Israel,Middle_East_and_North_Africa,High-income_economy,2017,64.85902597,0.790212035,1.348787904,21.06797885,64.6783968,1.290670744,5377,1436,4.624149799,56.72161777,37809.44152,3.29445E+11,31.23741,2.5114222,954,638955544,6813,2.07E-08,0.001939491,2.07E-08,1.72706979,3.094127637,10.54034057,4.055631761,4.187516487,0.001937612,6.86171134,0.828844676
Israel-2018,Israel,Middle_East_and_North_Africa,High-income_economy,2018,65.68024239,0.753730357,1.169254184,22.53628401,49.97110338,1.210926115,5857,1506,4.776130199,59.13602239,38599.1089,3.42868E+11,32.04547,2.3501575,1160,1260390538,7363,2.15E-08,0.003676021,2.15E-08,1.753733943,3.158543231,10.56101038,4.096609036,4.199908693,0.003669281,7.057036982,0.793411485
Israel-2019,Israel,Middle_East_and_North_Africa,High-income_economy,2019,64.60573648,0.773935139,1.288586617,23.0916656,59.39460211,1.388016459,6370,1368,5.215640068,56.6665034,39302.65182,3.55846E+11,32.36272,2.425652,1595,1490210887,7738,2.17E-08,0.004187795,2.17E-08,1.827068707,3.181865955,10.57907272,4.054676475,4.183663139,0.00417905,7.375255778,0.870463088
Israel-2020,Israel,Middle_East_and_North_Africa,High-income_economy,2020,67.797933,0.536611319,1.05196321,28.19764307,63.64919597,1.374957193,6481,1642,5.705550194,51.15130048,38049.99033,3.50634E+11,28.46502,2.6135237,1931,2723191097,8123,2.32E-08,0.007766467,2.32E-08,1.902935571,3.374087989,10.54668239,3.954149118,4.231173701,0.007736463,7.566311015,0.864979413
Israel-2021,Israel,Middle_East_and_North_Africa,High-income_economy,2021,69.19860031,0.829447269,1.250802159,29.59567587,73.94575416,1.05034257,8017,1592,5.556749821,55.0617294,40911.43553,3.83397E+11,29.30272,2.5718656,2124,6.22E+09,9609,2.51E-08,0.016220766,2.51E-08,1.880495026,3.420858688,10.61918934,4.026453394,4.251328372,0.016090615,7.661527081,0.718006886
Italy-2013,Italy,Europe_and_Central_Asia,High-Income_Economy,2013,90.22793188,0.070905864,0.532426715,7.772071453,28.58327131,16.54270564,905,8307,1.301069975,54.03418463,30369.12937,1.82925E+12,10.923,0.16486995,3076,15121268,9212,5.04E-09,8.27E-06,5.04E-09,0.833374221,2.171572976,10.32121482,4.007954531,4.513361121,8.27E-06,8.031710375,2.86463823
Italy-2014,Italy,Europe_and_Central_Asia,High-Income_Economy,2014,88.0646007,0.005657753,0.472872227,7.736913817,27.02454626,18.03304698,781,8601,1.338400006,54.45452993,30091.34815,1.82923E+12,12.98474,0.09890517,3291,26325951,9382,5.13E-09,1.44E-05,5.13E-09,0.849466938,2.167557017,10.3120262,4.015563404,4.489361957,1.44E-05,8.099250562,2.946176783
Japan-2013,Japan,East_Asia_and_Pacific,High-Income_Economy,2013,103.192251,1.648249269,1.610509396,17.75875891,87.1619933,2.129090181,56705,271731,3.27895999,33.97876865,34239.88625,4.3637E+12,17.22339,2.771609,5736,47690154,328436,7.53E-08,1.09E-05,7.53E-08,1.453709987,2.931660785,10.44117571,3.554741267,4.64623776,1.09E-05,8.654691705,1.140742285
Japan-2014,Japan,East_Asia_and_Pacific,High-Income_Economy,2014,103.7993605,1.690213561,1.805413008,17.78053472,89.40166166,1.746456331,60030,265959,3.367880106,37.43143457,34386.90586,4.37663E+12,17.33325,4.0161085,5539,85845492,325989,7.45E-08,1.96E-05,7.45E-08,1.47427779,2.932820946,10.44546021,3.648875733,4.652047669,1.96E-05,8.61974978,1.010311474
Japan-2015,Japan,East_Asia_and_Pacific,High-Income_Economy,2015,102.3527026,1.52976644,1.753165483,18.04548893,110.123633,1.533599959,59882,258839,3.24071002,35.42740835,34960.63938,4.44493E+12,17.35316,5.8062854,5865,256088060,318721,7.17E-08,5.76E-05,7.17E-08,1.444730713,2.946830272,10.46200672,3.595321468,4.638147436,5.76E-05,8.67692825,0.9296412
Japan-2016,Japan,East_Asia_and_Pacific,High-Income_Economy,2016,103.9669369,1.482243896,1.784825563,17.62042385,99.03315164,1.396769815,58137,260244,3.106659889,31.31024685,35242.19938,4.47844E+12,16.86931,10.679463,5996,940462852,318381,7.11E-08,0.000209998,7.11E-08,1.412610019,2.924259035,10.47002786,3.47538442,4.653645414,0.000209976,8.699014623,0.874121921
Japan-2017,Japan,East_Asia_and_Pacific,High-Income_Economy,2017,106.3933694,1.48122704,1.579890251,17.59427747,126.2021994,1.191847999,58189,260292,3.166359901,34.42321357,35861.97285,4.55347E+12,16.95478,18.722748,6348,738446891,318481,6.99E-08,0.000162172,6.99E-08,1.427042729,2.92285387,10.48746065,3.567367356,4.676498443,0.000162159,8.756052599,0.784745023
Japan-2018,Japan,East_Asia_and_Pacific,High-Income_Economy,2018,106.9398151,1.388587594,1.634588718,17.29705281,105.077092,1.073386707,59937,253630,3.219199896,36.6099318,36138.52908,4.58276E+12,16.26689,28.216084,7328,1035937428,313567,6.84E-08,0.000226051,6.84E-08,1.439645512,2.906739998,10.49514253,3.627268159,4.681573805,0.000226025,8.89959436,0.72918336
Japan-2019,Japan,East_Asia_and_Pacific,High-Income_Economy,2019,110.6625826,1.430998325,1.55003655,17.03038445,120.9667981,1.111435604,62597,245372,3.218240023,35.21641811,36043.7844,4.56433E+12,14.27734,33.46503,8312,1794400449,307969,6.75E-08,0.000393135,6.75E-08,1.439417985,2.89205836,10.49251746,3.589512555,4.715481669,0.000393058,9.025575834,0.747368097
Japan-2020,Japan,East_Asia_and_Pacific,High-Income_Economy,2020,120.9331203,1.463714361,1.547300577,18.63334879,132.8870302,1.13897924,61124,227348,3.268970013,31.32579312,34650.79678,4.37504E+12,14.28424,33.74384,8713,2306493651,288472,6.59E-08,0.000527193,6.59E-08,1.451372583,2.977229589,10.45310486,3.47586546,4.8034727,0.000527054,9.072686207,0.760328725
Japan-2021,Japan,East_Asia_and_Pacific,High-Income_Economy,2021,120.7104096,1.535760522,1.361168146,18.00399135,129.9860262,1.22751857,66748,222452,3.295809984,36.77148329,35701.45427,4.48702E+12,12.85732,23.583828,9556,1.42E+09,289200,6.45E-08,0.000317137,6.45E-08,1.457640125,2.944649028,10.48297471,3.631554408,4.801644531,0.000317087,9.165029149,0.800888217
Luxembourg-2016,Luxembourg,Europe_and_Central_Asia,High-Income_Economy,2016,96.25308594,2.049894571,1.655891657,7.967086404,97.89973568,0.904844284,301,143,1.266899943,348.4374094,108351.4522,63062062077,54.32573,3.4275274,119,0,444,7.04E-09,0,7.04E-09,0.818413234,2.193560808,11.59314464,5.856324459,4.577316714,0,4.787491743,0.644400264
Luxembourg-2017,Luxembourg,Europe_and_Central_Asia,High-Income_Economy,2017,100.4731335,1.941121459,1.645442963,6.968841029,104.4541204,0.791204996,512,156,1.238980055,353.793992,107142.1276,63892707778,57.44071,5.0292954,136,1105459,668,1.05E-08,1.73E-05,1.05E-08,0.80602043,2.075539066,11.58192086,5.871537317,4.619794069,1.73E-05,4.919980926,0.582888576
Luxembourg-2018,Luxembourg,Europe_and_Central_Asia,High-Income_Economy,2018,105.6217075,2.048039198,1.73641336,6.973241237,69.69350601,0.89696633,243,152,1.171800017,362.4239045,106376.7836,64671765569,53.49949,14.800003,148,8632812,395,6.11E-09,0.000133487,6.11E-09,0.775556325,2.07609109,11.57475203,5.895569934,4.669287126,0.000133478,5.003946306,0.640255942
Luxembourg-2019,Luxembourg,Europe_and_Central_Asia,High-Income_Economy,2019,108.9833952,2.072476864,1.695484519,6.573569943,63.28987005,0.738897536,359,117,1.18287003,382.3483692,107350.6267,66557495897,55.10573,16.124716,170,6359364,476,7.15E-09,9.55E-05,7.15E-09,0.780640539,2.024664547,11.58386496,5.948944156,4.700329402,9.55E-05,5.141663557,0.553251312
Luxembourg-2020,Luxembourg,Europe_and_Central_Asia,High-Income_Economy,2020,110.1694034,2.023699522,1.792388916,5.61923855,69.97028917,1.028040999,679,129,1.091500044,372.2714029,104616.0347,65951935966,54.36499,20.615385,208,442871909,808,1.23E-08,0.006715071,1.23E-08,0.737881533,1.889980341,11.55806167,5.922305777,4.711055195,0.006692625,5.342334252,0.707070302
Luxembourg-2021,Luxembourg,Europe_and_Central_Asia,High-Income_Economy,2021,103.9636621,1.840929389,1.677256942,6.075202068,71.50145379,1.254877675,1441,112,1.042150021,393.1411982,110425.8884,70679635854,51.66831,59.349407,248,3.07E+08,1553,2.20E-08,0.004343542,2.20E-08,0.714003185,1.956596004,11.61210894,5.976709216,4.653614215,0.004334137,5.517452896,0.813095726
Malaysia-2014,Malaysia,East_Asia_and_Pacific,Upper-middle_income_economy,2014,120.5286835,0.396519065,1.145935416,49.21925473,135.7735593,1.64578546,6267,1353,1.26275003,138.3122312,9341.73056,2.86755E+11,19.77577,0.32577392,1530,0,7620,2.66E-08,0,2.66E-08,0.816580901,3.916398514,9.14235384,4.936717682,4.800150313,0,7.333676396,0.972967981
Malaysia-2015,Malaysia,East_Asia_and_Pacific,Upper-middle_income_economy,2015,123.0651806,0.18163617,0.917085171,48.48538065,127.0847707,1.606828288,6455,1272,1.279450059,131.3700724,9648.679794,3.01355E+11,16.5578,0.57631725,1641,5716251,7727,2.56E-08,1.90E-05,2.56E-08,0.823934212,3.901677286,9.174680012,4.885601579,4.820807077,1.90E-05,7.40367029,0.958134267
Malaysia-2016,Malaysia,East_Asia_and_Pacific,Upper-middle_income_economy,2016,121.9354289,0.02742465,0.817718744,49.05866962,119.42941,1.614268256,6127,1109,1.415169954,126.89901,9901.479602,3.14765E+11,18.00918,0.31456736,1435,2258014,7236,2.30E-08,7.17E-06,2.30E-08,0.881769659,3.91319571,9.20054047,4.851240968,4.811659249,7.17E-06,7.26961675,0.960984233
Malaysia-2018,Malaysia,East_Asia_and_Pacific,Upper-middle_income_economy,2018,120.2461831,0.299851537,1.053889871,53.18128723,110.9339671,1.468190965,6179,1116,1.040259957,130.4026255,10610.19502,3.49192E+11,20.40258,0.27346513,1825,51796871,7295,2.09E-08,0.000148334,2.09E-08,0.71307723,3.992335595,9.269664857,4.878266087,4.797823049,0.000148323,7.509883061,0.903485479
Malaysia-2020,Malaysia,East_Asia_and_Pacific,Upper-middle_income_economy,2020,133.7857494,0.228581384,1.022258878,53.81287366,129.3613561,1.567126711,5839,989,0.950879991,116.7881824,10171.46578,3.44706E+11,20.40033,0.059015233,2119,47114033,6828,1.98E-08,0.000136679,1.98E-08,0.668280548,4.003925087,9.227439916,4.768887947,4.903686477,0.000136669,7.659171368,0.942787262
Mexico-2013,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2013,21.3105243,-0.591898561,0.302350998,20.51094476,39.62643208,3.361570185,14234,1210,0.425029993,62.69167477,9738.710598,1.15251E+12,19.81271,0.27039915,743,1163174,15444,1.34E-08,1.01E-06,1.34E-08,0.354192861,3.068561864,9.183966683,4.15405386,3.105058509,1.01E-06,6.612041035,1.472832127
Mexico-2014,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2014,21.13265865,-0.84301883,0.133970901,20.22209978,35.19550046,3.134023377,14889,1246,0.435299993,64.09840904,9862.481254,1.18137E+12,18.84009,0.17531519,776,2289213,16135,1.37E-08,1.94E-06,1.37E-08,0.361373881,3.055043081,9.196594454,4.17590011,3.097054284,1.94E-06,6.65544035,1.419251116
Mexico-2015,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2015,23.04949011,-0.888967395,0.117517561,19.57270211,33.15380484,2.604410218,16707,1364,0.429430008,70.41297468,10021.23861,1.21329E+12,22.39428,0.38819775,845,9146002,18071,1.49E-08,7.54E-06,1.49E-08,0.357275769,3.023965057,9.212561764,4.268479571,3.180113795,7.54E-06,6.74051936,1.282158156
Mexico-2016,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2016,25.12259777,-0.850662291,0.027610578,20.65411164,31.54099876,2.146763145,16103,1310,0.387780011,75.69030341,10100.50212,1.2348E+12,19.35907,0.52351165,893,11290070,17413,1.41E-08,9.14E-06,1.41E-08,0.327705356,3.07519535,9.220439417,4.339775278,3.262800755,9.14E-06,6.795705775,1.146374352
Mexico-2017,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2017,26.16035768,-0.952429533,-0.065302551,21.16809678,35.02250765,2.146058342,15850,1334,0.328319997,76.95212604,10193.77272,1.25791E+12,21.13066,0.5672607,899,28741945,17184,1.37E-08,2.28E-05,1.37E-08,0.283914983,3.098654173,9.229630389,4.35609487,3.301758472,2.28E-05,6.802394763,1.146150349
Mexico-2018,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2018,26.07599331,-0.949163556,-0.292850614,20.89174564,30.64963575,2.107737861,14869,1555,0.306430012,80.21266166,10296.86909,1.28272E+12,21.71797,0.73049116,1076,7553710,16424,1.28E-08,5.89E-06,1.28E-08,0.267298235,3.086109654,9.239692269,4.397071167,3.298647479,5.89E-06,6.981934677,1.133895086
Mexico-2019,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2019,27.76815293,-0.917449772,-0.306684852,20.40685841,31.71665151,2.20172619,14636,1305,0.283939987,77.46197227,10159.44484,1.27768E+12,22.35756,0.8349039,1274,146265364,15941,1.25E-08,0.000114477,1.25E-08,0.249933465,3.063711357,9.226257503,4.362614078,3.359268974,0.000114471,7.150701458,1.163690099
Mexico-2020,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2020,27.67121949,-0.921630204,-0.270338684,21.50742497,35.64617421,2.564017999,13180,1132,0.300029993,76.85455571,9234.643625,1.17094E+12,20.47244,0.8201954,1438,41879140,14312,1.22E-08,3.58E-05,1.22E-08,0.262387336,3.113845254,9.130825584,4.354842416,3.355893814,3.58E-05,7.271703707,1.27088856
Mexico-2021,Mexico,Latin_America_and_the_caribbean,Upper-middle_income_economy,2021,26.11895264,-1.020639896,-0.343543798,19.81134064,34.91708045,2.048526075,15044,1117,0.282429993,83.06929762,9728.0568,1.24177E+12,23.75342,0.06267227,1619,2.10E+08,16161,1.30E-08,0.000169114,1.30E-08,0.24875671,3.035498061,9.182872233,4.43164143,3.300232843,0.000169099,7.390181428,1.11465822
Netherlands-2013,Netherlands,Europe_and_Central_Asia,High-Income_Economy,2013,112.9659373,2.016869783,1.808733821,24.66590511,92.52094079,3.227168886,449,2315,2.15605998,150.6518502,44487.03061,7.47579E+11,8.942967,0.11787543,1491,10468570,2764,3.70E-09,1.40E-05,3.70E-09,1.149324408,3.245163462,10.70297546,5.021587435,4.735899608,1.40E-05,7.307872781,1.441532475
Netherlands-2014,Netherlands,Europe_and_Central_Asia,High-Income_Economy,2014,115.2026076,1.96052146,1.835469484,24.55596876,87.2461702,2.982662153,288,2294,2.173300028,151.7158911,45042.06696,7.59635E+11,9.642394,0.058719605,1547,28615164,2582,3.40E-09,3.77E-05,3.40E-09,1.154772065,3.2408709,10.71537435,5.028579274,4.755335285,3.77E-05,7.344719054,1.381950478
Netherlands-2015,Netherlands,Europe_and_Central_Asia,High-Income_Economy,2015,110.1329424,1.833373189,1.828625441,24.07401292,93.90802699,2.711984666,287,2207,2.14605999,160.3258126,45793.81354,7.75744E+11,9.511075,0.29227072,1604,300674821,2494,3.21E-09,0.000387596,3.21E-09,1.146150873,3.221831968,10.73192612,5.083426001,4.710727164,0.00038752,7.380879036,1.311566684
Netherlands-2016,Netherlands,Europe_and_Central_Asia,High-Income_Economy,2016,112.6869164,1.858350754,1.820286155,24.00874049,101.0738682,2.540527448,314,2290,2.150810003,150.9655292,46655.03635,7.9455E+11,11.03037,0.34874204,1779,681920243,2604,3.28E-09,0.000858247,3.28E-09,1.147659564,3.219225383,10.75055759,5.023653714,4.733448323,0.000857879,7.484368643,1.264275713
Netherlands-2017,Netherlands,Europe_and_Central_Asia,High-Income_Economy,2017,109.2609684,1.745578885,1.814021945,22.92190252,129.6936977,2.305427077,365,2241,2.178570032,159.6460597,47670.1057,8.16651E+11,12.20702,0.28876072,1810,601369923,2606,3.19E-09,0.000736386,3.19E-09,1.15643142,3.174794463,10.77208074,5.079203558,4.702849996,0.000736115,7.501634458,1.195565686
Norway-2013,Norway,Europe_and_Central_Asia,High-Income_Economy,2013,106.3946465,2.286928415,1.876767039,21.02050012,50.45053247,1.338726707,648,1101,1.642160058,67.97279259,73515.91449,3.73433E+11,8.557817,0.19684555,385,3489523,1749,4.68E-09,9.34E-06,4.68E-09,0.971596786,3.091973843,11.20527079,4.233712117,4.676510335,9.34E-06,5.955837369,0.849606639
Norway-2014,Norway,Europe_and_Central_Asia,High-Income_Economy,2014,109.4934303,2.222682953,1.821703792,22.31545056,43.72208965,1.130887907,457,1106,1.703690052,69.13737722,74180.32387,3.81082E+11,8.873162,0.3893022,442,51507295,1563,4.10E-09,0.000135161,4.10E-09,0.994617526,3.149116255,11.2142677,4.250455851,4.704956065,0.000135152,6.09356977,0.756538751
Norway-2016,Norway,Europe_and_Central_Asia,High-Income_Economy,2016,122.8875799,2.149504662,1.832366467,20.95633953,62.34077658,1.184730379,833,1227,2.032870054,69.1168424,75017.49447,3.92681E+11,11.29774,0.57295895,510,14677091,2060,5.25E-09,3.74E-05,5.25E-09,1.109509384,3.089055914,11.22548996,4.250163028,4.819374541,3.74E-05,6.23636959,0.781492424
Norway-2017,Norway,Europe_and_Central_Asia,High-Income_Economy,2017,123.2408084,2.191245556,1.944447994,21.59709845,71.48614255,1.00040358,908,1152,2.081670046,69.10878176,76247.41166,4.02355E+11,11.44286,0.37901714,611,113862320,2060,5.12E-09,0.00028299,5.12E-09,1.125471673,3.117821511,11.24175186,4.250048061,4.822221685,0.00028295,6.416732283,0.69334895
